fecha,precio_promedio_real,precio_promedio_pred
2013-12-09,189.75772066666664,76.01604619369338
2013-12-10,182.32834366666668,75.54101206137138
2013-12-11,178.19948966666666,75.06883645646093
2013-12-12,169.29457766666667,74.5995018587768
2013-12-13,154.590921,74.13299085551668
2013-12-14,173.03156233333334,73.66928614060288
2013-12-15,178.734226,73.20837051402836
2013-12-16,180.12804733333334,72.75022688120657
2013-12-17,187.18222866666667,72.29483825232523
2013-12-18,193.1047573333333,71.84218774170428
2013-12-19,173.182109,71.3922585671576
2013-12-20,164.872304,70.94503404935863
2013-12-21,164.39548133333332,70.50049761121002
2013-12-22,166.73431533333334,70.05863277721703
2013-12-23,159.49505160869563,69.61942317286474
2013-12-24,152.96975700000002,69.18285252399924
2013-12-25,104.60053172727272,68.74890465621239
2013-12-26,110.98399933333332,68.31756349423057
